Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library,,
Donald Trump,the Trump Make America Great Again Committee,2272908,43424,,
Kamala Harris,Kamala Harris For The People,891758,16060,,556.7179487
Bernie Sanders,Bernie 2020.,610593,9622,,556.7179487
Beto O'Rourke,Beto for America,591170,6836,,
Cory Booker,Cory 2020,270037,5983,,
Elizabeth Warren,Warren for President,961733,5318,,
Michael Bennet,Bennet for America,321021,5315,,
Michael Bennet,Bennet for America,321021,5315,,
Andrew Yang,Andrew Yang,846086,5305,,
Jay Inslee,INSLEE FOR AMERICA,509813,2886,,78
Tim Ryan,"Tim Ryan for America, Inc",28956,2664,,
Joe Biden,Biden for President,1336233,2216,,
Amy Klobuchar,Amy for America,792057,1586,,
Kirsten Gillibrand,Gillibrand 2020,435884,1261,,
John Hickenlooper,Hickenlooper 2020,142923,892,,
Steve Bullock,Bullock for President,45052,745,,
Pete Buttigieg,Pete for America,396741,376,,
Bill de Blasio,de Blasio 2020,8699,340,,
Seth Moulton,Seth Moulton for America,100670,281,,
John Delaney,Friends of John Delaney,141437,226,,2.897435897
Tulsi Gabbard,TULSI NOW,114399,78,2.897435897,
